country,port_name,wpi_id,lat,lon,year_month,n_images,sar_diff_median,sar_diff_mean,vh_median_mean,vh_max_mean,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio,region,tidal_range_m,entrance_width_m,channel_depth_m,anchorage_depth_m,cargo_pier_depth_m,oil_terminal_depth_m,lng_terminal_depth_m,max_vessel_length_m,max_vessel_beam_m,max_vessel_draft_m,offshore_max_vessel_length_m,offshore_max_vessel_beam_m,offshore_max_vessel_draft_m,harbor_size,harbor_type,harbor_use,shelter_afforded,ent_restr_tide,ent_restr_swell,ent_restr_ice,ent_restr_other,overhead_limits,underkeel_mgmt,good_holding_ground,turning_area,traffic_sep_scheme,vessel_traffic_svc,navarea,search_rescue,port_security,eta_message,quarantine_pratique,quarantine_sanitation,quarantine_other,first_port_of_entry,us_representative,pilotage_compulsory,pilotage_available,pilotage_local_assist,pilotage_advisable,tugs_salvage,tugs_assistance,comm_telephone,comm_telefax,comm_radio,comm_radiotelephone,comm_airport,comm_rail,fac_wharves,fac_anchorage,fac_dangerous_cargo,fac_med_mooring,fac_beach_mooring,fac_ice_mooring,fac_roro,fac_solid_bulk,fac_liquid_bulk,fac_container,fac_breakbulk,fac_oil_terminal,fac_lng_terminal,fac_other,medical_facilities,garbage_disposal,chemical_tank_disposal,dirty_ballast_disposal,degaussing,cranes_fixed,cranes_mobile,cranes_floating,cranes_container,lifts_100_tons,lifts_50_100_tons,lifts_25_49_tons,lifts_0_24_tons,svc_longshoremen,svc_electricity,svc_steam,svc_nav_equip,svc_electrical_repair,svc_ice_breaking,svc_diving,sup_provisions,sup_potable_water,sup_fuel_oil,sup_diesel_oil,sup_aviation_fuel,sup_deck,sup_engine,repairs,dry_dock
Russia,Vyborg,28300.0,60.716667,28.75,2016-01,6,4947.5342423985685,4853.975484914326,2.237847546146886,2.7770485488012704,31,17034.688121984986,58.15054178187647,265.725830078125,61.259360091198666,0.8666898712147579,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-02,5,6840.356273312481,5840.4112578517015,1.8873154312453169,2.434589356263264,29,17340.87212558377,59.39851423230388,289.3891906738281,62.03394533218426,0.862582184208995,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-03,5,6031.1677772534495,5799.558177243777,2.2926410481543447,2.4976275294742267,31,9906.651615420107,33.81788704059074,150.65684509277344,36.79727042883405,0.846153846153846,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-04,5,7813.161677034295,8303.689994792458,1.9032876991532044,2.6216073249525125,30,5514.422423916821,18.824333575619672,99.01117706298828,21.31409287308945,0.8592876203735931,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-05,5,7932.968029313932,7521.119050686907,0.2004147916110744,2.911056771816805,31,8588.766339301123,29.860732381509123,122.57299423217772,33.204925039560464,0.8663477439168437,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-06,4,4568.167859027288,5506.479835814972,1.0260892631501917,3.026147256398154,30,0.0,,,,,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-07,6,5490.655037707604,6015.015610714499,0.7068075927839338,2.8122487647988037,31,0.0,,,,,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-08,7,4707.933080665296,5614.395837405106,0.5750273567960652,2.700973388272071,31,5065.685759922571,17.292501590097135,83.80445861816406,19.66753157108287,0.8602854159415243,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-09,9,4601.732617047352,5143.389899256244,0.2905138485564461,3.017889031935401,30,5581.884720637694,19.05462655639374,96.56355285644533,21.919122210872647,0.8359902540898014,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-10,19,4409.225618153057,4822.47064714912,-0.1777684065075876,3.198562734671844,31,6119.98522633542,20.89151583287192,103.03887939453124,24.080327765808835,0.8637312913331011,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
