PORT,PORT_NAME,year_month,import_ves_val,import_ves_wgt,export_ves_val,export_ves_wgt,total_ves_val,total_ves_wgt
-,TOTAL FOR ALL PORTS,2016-01,78791717929.0,52719675849.0,34300318719.0,46522209676.0,113092036648.0,99241885525.0
-,TOTAL FOR ALL PORTS,2016-02,77987393213.0,50805956951.0,37107942166.0,46611515462.0,115095335379.0,97417472413.0
-,TOTAL FOR ALL PORTS,2016-03,76877344330.0,57503087484.0,39240071321.0,48742384443.0,116117415651.0,106245471927.0
-,TOTAL FOR ALL PORTS,2016-04,77632109196.0,55923658606.0,36880903058.0,46778389074.0,114513012254.0,102702047680.0
-,TOTAL FOR ALL PORTS,2016-05,84193085464.0,57435042359.0,39522484070.0,48497686551.0,123715569534.0,105932728910.0
-,TOTAL FOR ALL PORTS,2016-06,86656556786.0,59110910204.0,37238718907.0,49468143886.0,123895275693.0,108579054090.0
-,TOTAL FOR ALL PORTS,2016-07,87522283074.0,59131551543.0,38247264661.0,47644027396.0,125769547735.0,106775578939.0
-,TOTAL FOR ALL PORTS,2016-08,92449806703.0,62208351058.0,40928450235.0,53555887832.0,133378256938.0,115764238890.0
-,TOTAL FOR ALL PORTS,2016-09,83072870798.0,55584169044.0,39446763167.0,52265705890.0,122519633965.0,107849874934.0
-,TOTAL FOR ALL PORTS,2016-10,86141135856.0,53608487362.0,44147584966.0,54399337670.0,130288720822.0,108007825032.0
-,TOTAL FOR ALL PORTS,2016-11,84947231442.0,54521245512.0,42670220770.0,57466462581.0,127617452212.0,111987708093.0
-,TOTAL FOR ALL PORTS,2016-12,84263883746.0,54395417526.0,42970847695.0,57757595484.0,127234731441.0,112153013010.0
-,TOTAL FOR ALL PORTS,2017-01,87980860388.0,60080687933.0,40439527634.0,57204740815.0,128420388022.0,117285428748.0
-,TOTAL FOR ALL PORTS,2017-02,77328729391.0,52314519620.0,41718813017.0,55373605947.0,119047542408.0,107688125567.0
-,TOTAL FOR ALL PORTS,2017-03,86389390259.0,58749519537.0,45042937978.0,59577586387.0,131432328237.0,118327105924.0
-,TOTAL FOR ALL PORTS,2017-04,85946947465.0,55866649021.0,42351957970.0,55866302716.0,128298905435.0,111732951737.0
-,TOTAL FOR ALL PORTS,2017-05,91213555489.0,61578656167.0,42955641194.0,55847784429.0,134169196683.0,117426440596.0
-,TOTAL FOR ALL PORTS,2017-06,90771364389.0,59592896142.0,41309515184.0,55761008269.0,132080879573.0,115353904411.0
-,TOTAL FOR ALL PORTS,2017-07,92351856673.0,59108014954.0,41940905067.0,56172189029.0,134292761740.0,115280203983.0
-,TOTAL FOR ALL PORTS,2017-08,96079716080.0,58999028499.0,41748548445.0,54763367964.0,137828264525.0,113762396463.0
-,TOTAL FOR ALL PORTS,2017-09,89417137789.0,52823565707.0,42673258163.0,55994230289.0,132090395952.0,108817795996.0
-,TOTAL FOR ALL PORTS,2017-10,96310983377.0,56587564362.0,49038766968.0,66824625970.0,145349750345.0,123412190332.0
-,TOTAL FOR ALL PORTS,2017-11,91920735275.0,55551269424.0,48833510875.0,64871305556.0,140754246150.0,120422574980.0
-,TOTAL FOR ALL PORTS,2017-12,89856175060.0,51064987857.0,48124044916.0,64837589405.0,137980219976.0,115902577262.0
-,TOTAL FOR ALL PORTS,2018-01,95547709283.0,55992987444.0,41703940488.0,58166079800.0,137251649771.0,114159067244.0
-,TOTAL FOR ALL PORTS,2018-02,86680550761.0,48371999117.0,45027331646.0,58052002911.0,131707882407.0,106424002028.0
-,TOTAL FOR ALL PORTS,2018-03,91211674239.0,55198970262.0,50881836350.0,66349919394.0,142093510589.0,121548889656.0
-,TOTAL FOR ALL PORTS,2018-04,93194100367.0,56298498479.0,50315395598.0,67734586447.0,143509495965.0,124033084926.0
-,TOTAL FOR ALL PORTS,2018-05,100294251532.0,57432458721.0,52182368475.0,68036577729.0,152476620007.0,125469036450.0
-,TOTAL FOR ALL PORTS,2018-06,97914400509.0,56569349076.0,49784741590.0,65703255217.0,147699142099.0,122272604293.0
-,TOTAL FOR ALL PORTS,2018-07,104660116977.0,60492601583.0,49366736857.0,68127769498.0,154026853834.0,128620371081.0
-,TOTAL FOR ALL PORTS,2018-08,105862610770.0,59569955815.0,49556954276.0,64753187585.0,155419565046.0,124323143400.0
-,TOTAL FOR ALL PORTS,2018-09,98007910505.0,54339943861.0,47575862867.0,62760068968.0,145583773372.0,117100012829.0
-,TOTAL FOR ALL PORTS,2018-10,108295296787.0,56380532840.0,52164641137.0,69131929206.0,160459937924.0,125512462046.0
-,TOTAL FOR ALL PORTS,2018-11,95250022537.0,49580098557.0,49305527093.0,66415092524.0,144555549630.0,115995191081.0
