country,port_name,wpi_id,lat,lon,year_month,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio
United States,Grasselli,7900.0,40.616667,-74.2,2016-01,31,8881.824815327513,47.055292277663845,193.80075073242188,27.490138430470754,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-02,29,8635.071596175547,45.74801082491408,187.71800994873047,26.206412694928815,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-03,31,7050.492918424044,37.35302281638268,111.05101776123047,18.78862682286611,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-04,30,7019.556133692872,37.1891218750869,95.7697525024414,19.29137884658579,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-05,31,7066.160042966582,37.436026156330065,101.4637565612793,19.054918351565107,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-06,30,7630.074342602375,40.42360503123921,174.33721923828125,22.894013958490458,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-07,31,7364.359953388513,39.01586861368884,101.55572128295898,19.31304312453335,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-08,31,7100.631321951922,37.61865260321076,127.95852661132812,19.917223226127998,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-09,30,7137.032002211549,37.81150088431699,108.847412109375,19.691832849053657,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-10,31,6854.510804733573,36.31472316145312,107.08560180664062,19.437749766723236,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-11,30,6289.5815377413055,33.32176705983614,89.3643798828125,17.275786518761212,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2016-12,31,6911.658626700382,36.617488361352066,91.57173919677734,19.389649730024,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-01,31,7082.640035182356,37.52333601287088,97.44513702392578,16.408816889225005,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-02,28,8647.706634409285,45.814950381749526,177.1575469970703,25.07243748911481,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-03,31,8008.9423203627275,42.43082131830167,144.36170959472656,22.51117676817413,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-04,30,7296.254585834579,38.6550510967302,150.95529174804688,21.176277792078704,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-05,31,7096.573314438614,37.59715356066332,133.549560546875,20.019406387543174,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-06,30,7605.689813608282,40.29441748670556,140.30416870117188,23.261377520031896,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-07,31,7247.127166134705,38.3947774321522,193.61692810058594,21.080720995088058,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-08,31,7154.252466123245,37.902733708581145,130.01519775390625,20.07767144043675,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-09,30,7258.85894647673,38.45693159128161,142.32598114013672,22.388769770838806,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-10,31,6727.292114257814,35.64072735676354,90.9881362915039,17.613914133651594,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-11,30,6884.466915788836,36.47342856158384,119.79840087890625,19.71984242858745,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2017-12,31,8985.542828262554,47.60478312156054,206.57977294921875,27.354035954929405,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-01,31,9304.739372664806,49.29586429048296,144.20919799804688,26.451695185854913,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-02,28,6957.311885776707,36.85935616373848,132.61727905273438,21.804146036184658,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-03,31,8120.127553407819,43.01987297679286,237.5093002319336,27.594727583515606,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-04,30,7158.944370058472,37.927591090436934,128.53149032592773,18.257210210015252,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-05,31,7523.525467543507,39.85911647601584,118.13545227050781,19.971282213300668,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-06,30,7327.498111024559,38.82057712771675,108.68150329589844,19.816486865407537,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-07,31,7038.568411329681,37.28984760427718,94.59004211425781,17.273897545742905,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-08,31,7969.635875928169,42.222578499993425,112.08523559570312,18.794202827114763,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-09,30,6310.629742856118,33.43327899169597,89.86027526855469,15.40314353629666,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-10,31,7232.653581977359,38.31809738644201,124.95604705810547,18.924841734863318,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-11,30,6520.12589130121,34.54317506610589,88.11328506469727,16.368228404147366,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2018-12,31,7202.2458137465455,38.156999137899305,112.12895965576172,19.58346875113421,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-01,31,7537.423525569954,39.93274742417391,110.61896133422852,20.963836927552506,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-02,28,7884.785554437076,41.773047377658415,113.73003387451172,22.588088619786813,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-03,31,8017.082586264143,42.47394788285043,102.7470703125,20.006380962932536,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-04,30,7964.2113364032675,42.19383966556207,249.37976837158203,24.815218572420353,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-05,31,6827.606745239333,36.17218731895683,98.33048629760742,16.819977199141597,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-06,30,7379.015472909517,39.09351254034586,126.26710891723633,19.45603720245626,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-07,31,7921.170118416055,41.965810275826776,100.0962142944336,18.63605299219519,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-08,31,8275.808796519861,43.84466141262705,132.47398376464844,21.90590543909624,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-09,30,7397.3537513358915,39.19066746843374,113.72628784179688,19.8544958184885,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-10,31,7015.341703631834,37.16679411672314,87.08644104003906,18.27381808764561,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-11,30,7639.637028495936,40.474267478319284,128.05343627929688,22.295107662052857,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2019-12,31,7451.241480730094,39.47616092383807,104.12568664550781,21.5668086414528,0.8540857066808623
United States,Grasselli,7900.0,40.616667,-74.2,2020-01,31,7171.112321849896,37.992056055674475,132.31492614746094,21.120885992124787,0.8540857066808623
