country,port_name,wpi_id,lat,lon,year_month,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio
Russia,De Kastri,60810.0,51.466667,140.783333,2016-01,31,340.8607007770032,1.482635031098265,74.56143569946289,5.423593812761953,0.45292609351432883
Russia,De Kastri,60810.0,51.466667,140.783333,2016-02,29,471.1646427262318,2.0494155035426704,66.43645477294922,7.058727608129069,0.43263951734539974
Russia,De Kastri,60810.0,51.466667,140.783333,2016-03,31,482.6767237913668,2.099489374273748,75.54329681396484,6.404907788695089,0.5805128205128206
Russia,De Kastri,60810.0,51.466667,140.783333,2016-04,30,200.6541613184135,0.8727814266301991,45.3618278503418,3.591070518456763,0.29452488687782813
Russia,De Kastri,60810.0,51.466667,140.783333,2016-05,31,163.32510294564358,0.7104119616398993,9.401389122009277,1.2183068457459238,0.2752941176470589
Russia,De Kastri,60810.0,51.466667,140.783333,2016-06,30,269.32007628384713,1.1714561953497824,33.014198303222656,2.9298500209411764,0.40009049773755656
Russia,De Kastri,60810.0,51.466667,140.783333,2016-07,31,151.36223059789845,0.6583772930057841,5.108255863189697,0.894386303834683,0.3251432880844646
Russia,De Kastri,60810.0,51.466667,140.783333,2016-08,31,126.09908042455129,0.5484906696505001,12.077507495880127,1.2144833398207064,0.16573152337858219
Russia,De Kastri,60810.0,51.466667,140.783333,2016-09,30,146.99820793971202,0.6393951901855275,11.454741477966309,1.090297299226596,0.21571644042232277
Russia,De Kastri,60810.0,51.466667,140.783333,2016-10,31,192.19454406870935,0.8359847972285009,19.521699905395508,1.8409674480305491,0.2695475113122172
Russia,De Kastri,60810.0,51.466667,140.783333,2016-11,30,321.15281139580054,1.3969120154529484,51.88860321044922,4.735061099799787,0.5414027149321268
Russia,De Kastri,60810.0,51.466667,140.783333,2016-12,31,436.77321411383656,1.8998237884695655,73.59603118896484,6.723797174146179,0.46972850678733036
Russia,De Kastri,60810.0,51.466667,140.783333,2017-01,31,505.7613242555337,2.199900003158397,55.52294921875,6.032097117511036,0.6171342383107089
Russia,De Kastri,60810.0,51.466667,140.783333,2017-02,28,440.739965575846,1.91707788864547,44.91373062133789,4.41145406491348,0.5279185520361991
Russia,De Kastri,60810.0,51.466667,140.783333,2017-03,31,378.4234085291331,1.6460207961608342,52.03031539916992,4.754574978326344,0.4828054298642534
Russia,De Kastri,60810.0,51.466667,140.783333,2017-04,30,223.50351252573378,0.9721687964871999,43.067176818847656,3.2885622190314368,0.31533936651583716
Russia,De Kastri,60810.0,51.466667,140.783333,2017-05,31,128.44302724380336,0.5586860886510847,16.818809509277344,1.4371379836480578,0.19457013574660634
Russia,De Kastri,60810.0,51.466667,140.783333,2017-06,30,195.72783813381056,0.8513534963602845,27.92232894897461,2.27857987055766,0.31938159879336353
Russia,De Kastri,60810.0,51.466667,140.783333,2017-07,31,161.1408987204928,0.7009113718332733,13.44970989227295,1.2912297733843423,0.25206636500754154
Russia,De Kastri,60810.0,51.466667,140.783333,2017-08,31,172.9687764563616,0.7523588570809756,12.763926029205322,1.1251155603932412,0.41165912518853703
Russia,De Kastri,60810.0,51.466667,140.783333,2017-09,30,165.50675699020934,0.7199014589766033,17.836174964904785,1.8856441526070369,0.19457013574660634
Russia,De Kastri,60810.0,51.466667,140.783333,2017-10,31,174.80172115882823,0.7603315803070564,19.52588653564453,2.010189912070281,0.18705882352941175
Russia,De Kastri,60810.0,51.466667,140.783333,2017-11,30,355.7907650593303,1.5475760356525234,51.97134017944336,5.279961380704123,0.3961236802413273
Russia,De Kastri,60810.0,51.466667,140.783333,2017-12,31,498.2940243166271,2.171716764954791,93.09550476074219,8.677038279844,0.5262623968506321
Russia,De Kastri,60810.0,51.466667,140.783333,2018-01,31,517.4884285102398,2.2509091559933663,80.87053680419922,7.031488125285307,0.5692760180995475
Russia,De Kastri,60810.0,51.466667,140.783333,2018-02,28,605.7441111173407,2.634793148570095,82.24684143066406,8.102737942392217,0.6829110105580695
Russia,De Kastri,60810.0,51.466667,140.783333,2018-03,31,617.7522183841389,2.6870245746346333,84.09247589111328,9.43739631858656,0.44927601809954754
Russia,De Kastri,60810.0,51.466667,140.783333,2018-04,30,278.34646377350197,1.2107180940254665,36.011810302734375,3.490907227550706,0.3770588235294118
Russia,De Kastri,60810.0,51.466667,140.783333,2018-05,31,177.56114559517997,0.7723341940600575,23.09907341003418,1.9424222951492982,0.30766214177978884
Russia,De Kastri,60810.0,51.466667,140.783333,2018-06,30,214.1910098295513,0.9316623881711822,32.287574768066406,2.7661344188268124,0.2655505279034691
Russia,De Kastri,60810.0,51.466667,140.783333,2018-07,31,200.86587447776623,0.8737023111612856,11.050415992736816,1.3217359699550433,0.4736953242835596
Russia,De Kastri,60810.0,51.466667,140.783333,2018-08,31,144.36923453178917,0.6279599966841147,10.718401908874512,1.2263216598957325,0.2020814479638009
Russia,De Kastri,60810.0,51.466667,140.783333,2018-09,30,133.12160239172186,0.5790363941985341,17.714571952819824,1.857596947207965,0.1599547511312217
Russia,De Kastri,60810.0,51.466667,140.783333,2018-10,31,156.4207576283053,0.6803802677222659,20.842503547668457,1.9714230846586938,0.18321266968325792
Russia,De Kastri,60810.0,51.466667,140.783333,2018-11,30,295.8556658946123,1.286877523294262,37.65074157714844,3.4814328136770354,0.39770739064856714
