variable,coef,std_err,z,p_value,ci_low,ci_high,model,nobs,r2,r2_adj
Intercept,15.736228559593295,2.3572237657457737,6.675746608474694,2.459766552626365e-11,11.116154875229697,20.356302243956893,Model1_NoFE_log_val,6374,0.3635993760421711,0.3630996896226061
sar_diff_median,1.4233326553388445e-05,9.066104826521503e-06,1.5699494794888127,0.1164268650903781,-3.535912386658454e-06,3.2002565493435345e-05,Model1_NoFE_log_val,6374,0.3635993760421711,0.3630996896226061
vh_median_mean,-0.3059253174999952,0.10251557910583034,-2.9841836740167853,0.0028433603220509975,-0.5068521604016896,-0.10499847459830083,Model1_NoFE_log_val,6374,0.3635993760421711,0.3630996896226061
ntl_mean,0.05164549214919321,0.016082463617730577,3.2112923353518514,0.0013213943661873181,0.020124442675765533,0.08316654162262088,Model1_NoFE_log_val,6374,0.3635993760421711,0.3630996896226061
ntl_std,-0.031715647420528126,0.01789938944582309,-1.7718843157484978,0.07641376247305326,-0.06679780607959773,0.0033665112385414878,Model1_NoFE_log_val,6374,0.3635993760421711,0.3630996896226061
lit_area_ratio,3.8009180144869585,2.7582390163408546,1.3780234388567771,0.1681960515845199,-1.6051311182943024,9.20696714726822,Model1_NoFE_log_val,6374,0.3635993760421711,0.3630996896226061
Intercept,15.519258440737381,2.4855623008035885,6.243761597011656,4.271709278047613e-10,10.647645849831836,20.390871031642927,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-02],-0.11238617292198327,0.38314972825619376,-0.29332181294628523,0.769276182215594,-0.8633458409904318,0.6385734951464652,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-03],-0.06097450531029214,0.3633327155573877,-0.16782002473064203,0.8667248684631446,-0.7730935422079078,0.6511445315873235,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-04],-0.29230672028561777,0.3307783782436506,-0.8836935528787958,0.3768616615564593,-0.9406204285077403,0.35600698793650476,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-05],0.0878845786107676,0.2689427429284765,0.3267780258868703,0.7438357806191138,-0.4392335114324606,0.6150026686539958,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-06],0.10031218065890535,0.3581983621242498,0.2800464526527054,0.7794418660604614,-0.6017437084258606,0.8023680697436713,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-07],0.35827022310711065,0.2487622468032769,1.4402113974731603,0.14980759961300433,-0.1292948213405763,0.8458352675547975,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-08],0.423696911698892,0.27925637282875054,1.5172327399622758,0.12920793296003172,-0.12363552149874879,0.9710293448965328,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-09],0.1456561653553341,0.24955139202310672,0.583672021119591,0.5594409946713598,-0.3434555753017912,0.6347679060124594,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-10],0.22911276623880283,0.3084142222059276,0.7428735438984544,0.4575582443819066,-0.3753680016047487,0.8335935340823544,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-11],0.4626808851529205,0.2723965440505867,1.6985563703297062,0.08940280298019677,-0.07120653069940786,0.9965683010052488,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2016-12],0.24153027528281168,0.29182977859516296,0.8276409503016188,0.4078738697138964,-0.3304455803800057,0.8135061309456291,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-01],0.00946662757152894,0.3234539374005471,0.02926731282855278,0.9766513963128561,-0.6244914403912166,0.6434246955342745,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-02],-0.27185977594360367,0.36228953147049264,-0.7503936833067057,0.4530176342004756,-0.9819342096016598,0.43821465771445245,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-03],0.18919047274535483,0.30674847628743557,0.6167609209836002,0.5373924316371932,-0.4120254930905577,0.7904064385812674,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-04],0.11891076812765267,0.31966597159507626,0.3719844421797826,0.709904432864894,-0.5076230232817007,0.7454445595370061,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-05],0.18900165051164053,0.31378494275113317,0.6023286167097577,0.54695541577708,-0.42600553617154313,0.8040088371948242,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-06],0.28470692961939825,0.2837260323523901,1.0034571986887333,0.31564031820212224,-0.2713858752677325,0.840799734506529,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-07],0.3051075565559782,0.2785984292909603,1.0951517470234282,0.2734501613527768,-0.24093533100373288,0.8511504441156893,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-08],0.32561457804340677,0.2993814165858222,1.0876245484998714,0.2767608889548421,-0.26116221610538715,0.9123913721922007,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-09],0.37552203510927407,0.29796125727862754,1.260304908561043,0.20755938994683265,-0.208471297945109,0.9595153681636571,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-10],0.28621746040759355,0.31894083606511037,0.8973998561575336,0.3695055892852597,-0.33889509147911634,0.9113300122943034,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-11],0.380826279314594,0.29969884086014986,1.2706965373025954,0.20383662794224022,-0.2065726549797009,0.9682252136088889,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2017-12],0.1524992025184373,0.3106290899116164,0.4909366426751211,0.6234712594737191,-0.45632262625878517,0.7613210312956598,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2018-01],-0.14089347473203517,0.3157476423017712,-0.44622177921879236,0.6554370522499582,-0.7597474818469424,0.47796053238287206,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2018-02],-0.12251120397174642,0.35800503467754574,-0.3422052544095978,0.7321964312375404,-0.8241881782237492,0.5791657702802564,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2018-03],-0.10650963529660107,0.35759769372377787,-0.2978476572023789,0.7658194391462189,-0.8073882359497906,0.5943689653565885,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
