feature,importance
oil_terminal_depth_m,0.14045246
tugs_assistance,0.11120385
lifts_0_24_tons,0.08566947
sup_potable_water,0.083900385
cranes_floating,0.057785977
comm_telefax,0.03691384
overhead_limits,0.032525063
tidal_range_m,0.02570509
channel_depth_m,0.02352534
svc_steam,0.023407033
repairs,0.019474078
comm_rail,0.019410362
cranes_fixed,0.018587548
garbage_disposal,0.017934427
lit_area_ratio,0.01713989
anchorage_depth_m,0.016230559
pilotage_available,0.014879951
lifts_50_100_tons,0.014780488
ent_restr_other,0.014313163
cargo_pier_depth_m,0.014062296
eta_message,0.013869238
good_holding_ground,0.012150023
first_port_of_entry,0.009606678
sup_diesel_oil,0.009349568
tugs_salvage,0.009048029
ent_restr_ice,0.00899829
pilotage_advisable,0.008901409
dry_dock,0.008886309
ntl_mean,0.008434123
svc_electrical_repair,0.007832208
harbor_type,0.007420153
shelter_afforded,0.007389136
harbor_size,0.0072428323
ent_restr_tide,0.006813421
dirty_ballast_disposal,0.00678178
cranes_mobile,0.0066262134
lifts_25_49_tons,0.0065913517
sup_engine,0.006175331
svc_nav_equip,0.005916396
comm_radiotelephone,0.0056661884
turning_area,0.005603503
lifts_100_tons,0.0049610357
comm_radio,0.004740616
fac_med_mooring,0.004036721
fac_anchorage,0.0037632175
sar_diff_median,0.0029061083
degaussing,0.0027969712
us_representative,0.002499483
quarantine_sanitation,0.0024213172
ntl_std,0.0023539127
comm_airport,0.0019467568
vh_median_mean,0.0019077911
quarantine_pratique,0.0015582686
quarantine_other,0.001376874
pilotage_local_assist,0.0013436264
svc_longshoremen,0.0011859236
pilotage_compulsory,0.0011277986
sup_deck,0.0009470147
svc_electricity,0.00053931505
ent_restr_swell,0.0003837595
offshore_max_vessel_length_m,0.0
svc_diving,0.0
offshore_max_vessel_beam_m,0.0
sup_aviation_fuel,0.0
max_vessel_draft_m,0.0
max_vessel_beam_m,0.0
max_vessel_length_m,0.0
lng_terminal_depth_m,0.0
entrance_width_m,0.0
sup_fuel_oil,0.0
sup_provisions,0.0
fac_liquid_bulk,0.0
svc_ice_breaking,0.0
fac_beach_mooring,0.0
harbor_use,0.0
underkeel_mgmt,0.0
traffic_sep_scheme,0.0
vessel_traffic_svc,0.0
search_rescue,0.0
port_security,0.0
comm_telephone,0.0
fac_wharves,0.0
fac_dangerous_cargo,0.0
fac_ice_mooring,0.0
cranes_container,0.0
fac_roro,0.0
fac_solid_bulk,0.0
fac_container,0.0
fac_breakbulk,0.0
fac_oil_terminal,0.0
fac_lng_terminal,0.0
fac_other,0.0
medical_facilities,0.0
chemical_tank_disposal,0.0
offshore_max_vessel_draft_m,0.0
