feature,importance
comm_rail,0.08236954
repairs,0.07412572
svc_nav_equip,0.06736641
oil_terminal_depth_m,0.062275913
cranes_mobile,0.050870202
sup_provisions,0.049236696
lifts_0_24_tons,0.04721464
cranes_floating,0.046450324
svc_steam,0.044649806
fac_med_mooring,0.035437807
tugs_assistance,0.03374618
cargo_pier_depth_m,0.026551256
overhead_limits,0.02547691
pilotage_available,0.022654729
eta_message,0.020863948
tidal_range_m,0.020121042
channel_depth_m,0.02003424
degaussing,0.019052343
quarantine_sanitation,0.018651454
lifts_25_49_tons,0.016265105
quarantine_pratique,0.014119458
fac_anchorage,0.012994066
pilotage_advisable,0.012958801
harbor_size,0.012180674
first_port_of_entry,0.011624058
comm_radio,0.010997584
anchorage_depth_m,0.010801022
comm_telefax,0.008746404
ent_restr_ice,0.008706649
ent_restr_tide,0.008423513
dirty_ballast_disposal,0.008325714
lifts_50_100_tons,0.008127022
cranes_fixed,0.007848369
harbor_type,0.0077047357
ent_restr_other,0.0068503725
dry_dock,0.0060961815
lifts_100_tons,0.0052970415
garbage_disposal,0.0050560078
tugs_salvage,0.0047921324
good_holding_ground,0.004532164
shelter_afforded,0.0038377848
us_representative,0.0032782594
ent_restr_swell,0.00297076
sup_engine,0.0029032049
pilotage_compulsory,0.002868591
quarantine_other,0.002762179
sup_fuel_oil,0.0027187758
medical_facilities,0.0024854287
comm_airport,0.0023948976
sup_deck,0.0023640243
svc_electricity,0.0019223221
svc_longshoremen,0.001724856
sup_diesel_oil,0.0014174744
pilotage_local_assist,0.0014136331
turning_area,0.0010914017
comm_radiotelephone,0.0010347714
sup_potable_water,0.0009297304
fac_wharves,0.0008611221
comm_telephone,0.00081414444
svc_electrical_repair,0.00061034446
sup_aviation_fuel,0.0
entrance_width_m,0.0
lng_terminal_depth_m,0.0
max_vessel_length_m,0.0
max_vessel_beam_m,0.0
max_vessel_draft_m,0.0
offshore_max_vessel_length_m,0.0
offshore_max_vessel_beam_m,0.0
fac_oil_terminal,0.0
svc_diving,0.0
fac_ice_mooring,0.0
harbor_use,0.0
underkeel_mgmt,0.0
traffic_sep_scheme,0.0
vessel_traffic_svc,0.0
search_rescue,0.0
port_security,0.0
fac_dangerous_cargo,0.0
fac_beach_mooring,0.0
fac_roro,0.0
svc_ice_breaking,0.0
fac_solid_bulk,0.0
fac_liquid_bulk,0.0
fac_container,0.0
fac_breakbulk,0.0
fac_lng_terminal,0.0
fac_other,0.0
chemical_tank_disposal,0.0
cranes_container,0.0
offshore_max_vessel_draft_m,0.0
